Date, Close/Last, Volume, Open, High, Low
11/18/2020, 3567.79, --, 3612.09, 3619.09, 3567.33
11/17/2020, 3609.53, --, 3610.31, 3623.11, 3588.68
11/16/2020, 3626.91, --, 3600.16, 3628.51, 3600.16
11/13/2020, 3585.15, --, 3552.57, 3593.66, 3552.57
11/12/2020, 3537.01, --, 3562.67, 3569.02, 3518.58
11/11/2020, 3572.66, --, 3563.22, 3581.16, 3557
11/10/2020, 3545.53, --, 3543.26, 3557.22, 3511.91
11/09/2020, 3550.5, --, 3583.04, 3645.99, 3547.48
11/06/2020, 3509.44, --, 3508.34, 3521.58, 3484.34
11/05/2020, 3510.45, --, 3485.74, 3529.05, 3485.74
11/04/2020, 3443.44, --, 3406.46, 3486.25, 3405.17
11/03/2020, 3369.02, --, 3336.25, 3389.49, 3336.25
11/02/2020, 3310.24, --, 3296.2, 3330.14, 3279.74
10/30/2020, 3269.96, --, 3293.59, 3304.93, 3233.94
10/29/2020, 3310.11, --, 3277.17, 3341.05, 3259.82
10/28/2020, 3271.03, --, 3342.48, 3342.48, 3268.89
10/27/2020, 3390.68, --, 3403.15, 3409.51, 3388.71
10/26/2020, 3400.97, --, 3441.42, 3441.42, 3364.86
10/23/2020, 3465.39, --, 3464.9, 3466.46, 3440.45
10/22/2020, 3453.49, --, 3438.5, 3460.53, 3415.34
10/21/2020, 3435.56, --, 3439.91, 3464.86, 3433.06
10/20/2020, 3443.12, --, 3439.38, 3476.93, 3435.65
10/19/2020, 3426.92, --, 3493.66, 3502.42, 3419.93
