,predicted,actual,difference,Date
0,3404.521892576825,3446.83,42.30810742317499,10/08/2020
1,3405.378681705774,3477.13,71.75131829422617,10/09/2020
2,3415.7097656423784,3534.22,118.51023435762136,10/12/2020
3,3395.2001958680235,3511.93,116.72980413197638,10/13/2020
4,3419.534965767608,3488.67,69.13503423239217,10/14/2020
5,3393.5483763033703,3483.34,89.79162369662981,10/15/2020
6,3415.087102607766,3483.81,68.72289739223379,10/16/2020
7,3398.7067165620724,3426.92,28.213283437927657,10/19/2020
8,3406.1394068859026,3443.12,36.980593114097246,10/20/2020
9,3405.6740481457555,3435.56,29.885951854244468,10/21/2020
10,3398.0123225677653,3453.49,55.477677432234486,10/22/2020
11,3409.652702001173,3465.39,55.73729799882676,10/23/2020
12,3394.3237654638447,3400.97,6.646234536155134,10/26/2020
13,3408.6007514410876,3390.68,-17.92075144108776,10/27/2020
14,3395.430934833789,3271.03,-124.4009348337886,10/28/2020
15,3403.6868416193415,3310.11,-93.5768416193414,10/29/2020
16,3399.0080800479855,3269.96,-129.04808004798542,10/30/2020
17,3397.8972597172233,3310.24,-87.6572597172235,11/02/2020
18,3401.9417733424384,3369.02,-32.92177334243843,11/03/2020
19,3393.987344223466,3443.44,49.4526557765339,11/04/2020
20,3402.204755053475,3510.45,108.24524494652496,11/05/2020
21,3393.0426969556843,3509.44,116.39730304431578,11/06/2020
22,3399.6977773694753,3550.5,150.80222263052474,11/09/2020
23,3394.2857769993843,3545.53,151.24422300061588,11/10/2020
24,3395.847294928476,3572.66,176.81270507152385,11/11/2020
25,3395.9380899963494,3537.01,141.07191000365083,11/12/2020
26,3392.4713819239278,3585.15,192.67861807607233,11/13/2020
27,3396.4209398952244,3626.91,230.4890601047755,11/16/2020
28,3390.7016725441977,3609.53,218.82832745580254,11/17/2020
29,3395.163831375763,3567.79,172.62616862423693,11/18/2020
