,predicted,actual,difference
0,3404.521892576825,3446.83,42.30810742317499
1,3405.378681705774,3477.13,71.75131829422617
2,3415.7097656423784,3534.22,118.51023435762136
3,3395.2001958680235,3511.93,116.72980413197638
4,3419.534965767608,3488.67,69.13503423239217
5,3393.5483763033703,3483.34,89.79162369662981
6,3415.087102607766,3483.81,68.72289739223379
7,3398.7067165620724,3426.92,28.213283437927657
8,3406.1394068859026,3443.12,36.980593114097246
9,3405.6740481457555,3435.56,29.885951854244468
10,3398.0123225677653,3453.49,55.477677432234486
11,3409.652702001173,3465.39,55.73729799882676
12,3394.3237654638447,3400.97,6.646234536155134
13,3408.6007514410876,3390.68,-17.92075144108776
14,3395.430934833789,3271.03,-124.4009348337886
15,3403.6868416193415,3310.11,-93.5768416193414
16,3399.0080800479855,3269.96,-129.04808004798542
17,3397.8972597172233,3310.24,-87.6572597172235
18,3401.9417733424384,3369.02,-32.92177334243843
19,3393.987344223466,3443.44,49.4526557765339
20,3402.204755053475,3510.45,108.24524494652496
21,3393.0426969556843,3509.44,116.39730304431578
22,3399.6977773694753,3550.5,150.80222263052474
23,3394.2857769993843,3545.53,151.24422300061588
24,3395.847294928476,3572.66,176.81270507152385
25,3395.9380899963494,3537.01,141.07191000365083
26,3392.4713819239278,3585.15,192.67861807607233
27,3396.4209398952244,3626.91,230.4890601047755
28,3390.7016725441977,3609.53,218.82832745580254
29,3395.163831375763,3567.79,172.62616862423693
